| Namn | URL | Stad | Kategori | Insamlad | Notis |
|------|-----|------|----------|----------|-------|
| Liseberg | https://www.gronalund.com | Göteborg | festival | 2026-04-04 | Nöjespark och konserter |
| GöteborgsOperan | https://www.opera.se/goteborg | Göteborg | teater | 2026-04-04 | Operahus |
| Stora Teatern Göteborg | https://www.storateatern.se | Göteborg | teater | 2026-04-04 | Stor teater |
| Göteborgs Konserthus | https://www.konserthuset.se/goteborg | Göteborg | konserthus | 2026-04-04 | Konserthus |
| Göteborgs Stadsteatern | https://www.stadsteatern.se | Göteborg | teater | 2026-04-04 | Kommunal teater |
| Partille Arena | https://www.partillearena.se | Göteborg | arena | 2026-04-04 | Multiarena |
| Scandinavium | https://www.scandinavium.se | Göteborg | arena | 2026-04-04 | Stor arena |
| FriArena | https://www.friarena.se | Göteborg | arena | 2026-04-04 | Sportarena |
| Universeum | https://www.universeum.se | Göteborg | museum | 2026-04-04 | Vetenskapscenter |
| Naturhistoriska Museet | https://www.naturhistoriska.se | Göteborg | museum | 2026-04-04 | Naturhistoriskt |
| Röhsska Museet | https://www.rohsska.se | Göteborg | museum | 2026-04-04 | Design och konsthantverk |
| Göteborgs Konstmuseum | https://www.goteborgskonstmuseum.se | Göteborg | museum | 2026-04-04 | Konstmuseum |
| Arkitekturgalleriet | https://www.arkitekturgalleriet.se | Göteborg | museum | 2026-04-04 | Arkitektur |
| Boplanet | https://www.boplanet.se | Göteborg | museum | 2026-04-04 | Leikmuseum |
| Slottsskogen | https://www.slottsskogen.se | Göteborg | park | 2026-04-04 | Park med konserter |
| Botaniska Trädgården | https://www.botaniska.se | Göteborg | park | 2026-04-04 | Botanisk trädgård |
| Trädgårdsföreningen | https://www.tradgardsforeningen.se | Göteborg | park | 2026-04-04 | Park och evenemang |
| Sticky Fingers | https://www.stickyfingers.se | Göteborg | nattliv | 2026-04-04 | Musikklubb |
| Pustervik | https://www.pustervik.nu | Göteborg | nattliv | 2026-04-04 | Kultur och nattliv |
| Oceanen | https://www.oceanen.se | Göteborg | nattliv | 2026-04-04 | Kulturhus |
| B.Republic | https://www.brepublic.se | Göteborg | nattliv | 2026-04-04 | Nattklubb |
| Fängelset | https://www.fangelset.org | Göteborg | nattliv | 2026-04-04 | Musikklubb |
| Downtown | https://www.downtown.se | Göteborg | nattliv | 2026-04-04 | Nattklubb |
| IFK Göteborg | https://www.ifkgoteborg.se | Göteborg | idrott | 2026-04-04 | Fotbollsklubb |
| BK Häcken | https://www.hacken.se | Göteborg | idrott | 2026-04-04 | Fotbollsklubb |
| GAIS | https://www.gais.se | Göteborg | idrott | 2026-04-04 | Fotbollsklubb |
| ÖIS | https://www.ois.se | Göteborg | idrott | 2026-04-04 | Fotbollsklubb |
