| Namn | URL | Stad | Kategori | Insamlad | Notis |
|------|-----|------|----------|----------|-------|
| Jönköping Konserthus | https://www.jonkoping.se/konserthus | Jönköping | konserthus | 2026-04-04 | Konserthus |
| Jönköping Stadsteatern | https://www.jonkoping.se/stadsteatern | Jönköping | teater | 2026-04-04 | Kommunal teater |
| Jönköping University | https://www.ju.se | Jönköping | universitet | 2026-04-04 | Universitet |
| Science Park | https://www.spp.se | Jönköping | scen | 2026-04-04 | Näringsliv och event |
| A6 | https://www.centeraj6.se | Jönköping | nattliv | 2026-04-04 | Köpcentrum med nattliv |
| Elmia | https://www.elmia.se | Jönköping | mässa | 2026-04-04 | Mäss- och kongresscenter |
| Rumble | https://www.rumblematch.se | Jönköping | idrott | 2026-04-04 | Motionsanläggning |
| Jönköping Södra | https://www.jonkopingsodra.se | Jönköping | idrott | 2026-04-04 | Fotbollsklubb |
| HV71 | https://www.hv71.se | Jönköping | idrott | 2026-04-04 | Ishockey |
| Jönköping | https://www.jonkoping.se | Jönköping | kommunal | 2026-04-04 | Kommun |
| Växjö Konserthus | https://www.vx.se/konserthus | Växjö | konserthus | 2026-04-04 | Konserthus |
| Växjö Teatern | https://www.vaexjoe-teatern.se | Växjö | teater | 2026-04-04 | Teater |
| Smålandsposten | https://www.smp.se | Växjö | eventportal | 2026-04-04 | Nyheter |
| Växjö Alcazar | https://www.alcazar.se | Växjö | scen | 2026-04-04 | scen och konferens |
| Växjö Lakers | https://www.vaxjolakers.se | Växjö | idrott | 2026-04-04 | Ishockey |
| Kalmar Teatern | https://www.kalmarteatern.se | Kalmar | teater | 2026-04-04 | Teater |
| Kalmar Energi Arena | https://www.kalmarenergiarena.se | Kalmar | arena | 2026-04-04 | Sport- och konsertarena |
| Kalmar Museum | https://www.kalmar-museum.se | Kalmar | museum | 2026-04-04 | Länsmuseum |
| Kalmar kommun | https://www.kalmar.se | Kalmar | kommunal | 2026-04-04 | Kommun |
| Öland | https://www.oland.se | Öland | turism | 2026-04-04 | Ö och turism |
| Kalmar FF | https://www.kalmarff.se | Kalmar | idrott | 2026-04-04 | Fotbollsklubb |
| Luleå Konserthus | https://www.lulea.se/konserthus | Luleå | konserthus | 2026-04-04 | Konserthus |
| Luleå Stadsteatern | https://www.lulea.se/stadsteatern | Luleå | teater | 2026-04-04 | Kommunal teater |
| Luleå Tekniska Universitet | https://www.ltu.se | Luleå | universitet | 2026-04-04 | Universitet |
| Luleå HF | https://www.luleahf.se | Luleå | idrott | 2026-04-04 | Ishockey |
| Studio Acusticum | https://www.studioacusticum.se | Luleå | scen | 2026-04-04 | Konserthus och teater |
| Umeå Konserthus | https://www.umea.se/konserthus | Umeå | konserthus | 2026-04-04 | Konserthus |
| Umeå Stadsteatern | https://www.umea.se/stadsteatern | Umeå | teater | 2026-04-04 | Kommunal teater |
| Västerbottens Museum | https://www.vbm.se | Umeå | museum | 2026-04-04 | Länsmuseum |
| Umeå universitet | https://www.umu.se | Umeå | universitet | 2026-04-04 | Universitet |
| Umeå Jazz | https://www.umeajazz.se | Umeå | festival | 2026-04-04 | Jazzfestival |
| Umeå IK | https://www.umeaik.se | Umeå | idrott | 2026-04-04 | Fotbollsklubb |
| Gävle Konserthus | https://www.gavle.se/konserthus | Gävle | konserthus | 2026-04-04 | Konserthus |
| Gävle Stadsteatern | https://www.gavle.se/stadsteatern | Gävle | teater | 2026-04-04 | Kommunal teater |
| Gävle Konstmuseum | https://www.gavle.se/konst | Gävle | museum | 2026-04-04 | Konstmuseum |
| Gävle IF | https://www.gavleif.se | Gävle | idrott | 2026-04-04 | Fotbollsklubb |
| Gävle Zoo | https://www.gavlezoo.se | Gävle | museum | 2026-04-04 | Zoo |
| Falun Konserthus | https://www.falu.se | Falun | konserthus | 2026-04-04 | Konserthus |
| Falun Stadsteatern | https://www.falu.se/stadsteatern | Falun | teater | 2026-04-04 | Kommunal teater |
| Falun FK | https://www.falunfk.se | Falun | idrott | 2026-04-04 | Fotbollsklubb |
| Dalarna | https://www.dalarna.se | Falun | turism | 2026-04-04 | Regionturism |
| Borlänge kommun | https://www.borlange.se | Borlänge | kommunal | 2026-04-04 | Kommun |
| Karlstad Konserthus | https://www.karlstad.se/konserthus | Karlstad | konserthus | 2026-04-04 | Konserthus |
| Karlstad Stadsteatern | https://www.karlstad.se/stadsteatern | Karlstad | teater | 2026-04-04 | Kommunal teater |
| Karlstad IF | https://www.karlstadif.se | Karlstad | idrott | 2026-04-04 | Fotbollsklubb |
| Värmland | https://www.varmland.se | Karlstad | turism | 2026-04-04 | Regionturism |
| Varberg Arena | https://www.varberg.se/arena | Varberg | arena | 2026-04-04 | Sport- och konsertarena |
