| Namn | URL | Stad | Kategori | Insamlad | Notis |
|------|-----|------|----------|----------|-------|
| Konserthuset | https://www.konserthuset.se | Stockholm | konserthus | 2026-04-04 | Ledande konserthall |
| Stora Teatern | https://www.storateatern.se | Stockholm | teater | 2026-04-04 | Historisk teater Södermalm |
| Dramaten | https://www.dramaten.se | Stockholm | teater | 2026-04-04 | Kungliga Dramatiska Teatern |
| Stockholms Stadsteater | https://www.stadsteatern.se | Stockholm | teater | 2026-04-04 | Kommunal teater |
| Teater Galeasen | https://www.galeasen.se | Stockholm | teater | 2026-04-04 | Fristående teater |
| Unga Teatern | https://www.ungateatern.se | Stockholm | teater | 2026-04-04 | Teater för barn och ungdom |
| Oscarsteatern | https://www.oscarsteatern.se | Stockholm | teater | 2026-04-04 | Musikal- och operettteater |
| Chinateatern | https://www.chinateatern.se | Stockholm | teater | 2026-04-04 | Intim scen i jugendstil |
| Cirkus | https://www.cirkus.se | Stockholm | teater | 2026-04-04 | Varieté och show |
| Intiman | https://www.intiman.se | Stockholm | teater | 2026-04-04 | Liten intim scen |
| Rival | https://www.rival.se | Stockholm | teater | 2026-04-04 | Biograf och scen |
| Mosebacke | https://www.mosebacke.se | Stockholm | scen | 2026-04-04 | Kulturhus på Södermalm |
| Avicii Arena | https://www.aviciiarena.se | Stockholm | arena | 2026-04-04 | Tidigare Globen |
| Friends Arena | https://www.friendsarena.se | Stockholm | arena | 2026-04-04 | Fotbollsarena Solna |
| Tele2 Arena | https://www.tele2arena.se | Stockholm | arena | 2026-04-04 | Multiarena Johanneshov |
| Hovet | https://www.thehovet.se | Stockholm | arena | 2026-04-04 | Ishockey och konserter |
| Mall of Scandinavia | https://www.mallofscandinavia.se | Stockholm | arena | 2026-04-04 | Köpcentrum med scen |
| Moderna Museet | https://www.modernamuseet.se | Stockholm | museum | 2026-04-04 | Modern och samtida konst |
| Nationalmuseum | https://www.nationalmuseum.se | Stockholm | museum | 2026-04-04 | Konst och design |
| Vasa Museum | https://www.vasamuseet.se | Stockholm | museum | 2026-04-04 | Skeppet Vasa |
| Tekniska Museet | https://www.tekniskamuseet.se | Stockholm | museum | 2026-04-04 | Teknik och innovation |
| Historiska Museet | https://www.historiskamuseet.se | Stockholm | museum | 2026-04-04 | Svensk historia |
| Nordiska Museet | https://www.nordiskamuseet.se | Stockholm | museum | 2026-04-04 | Nordisk kulturhistoria |
| Fotografiska | https://www.fotografiska.se | Stockholm | museum | 2026-04-04 | Fotografimuseum |
| ArkDes | https://www.arkdes.se | Stockholm | museum | 2026-04-04 | Arkitektur och design |
| Naturhistoriska | https://www.nrm.se | Stockholm | museum | 2026-04-04 | Naturvetenskap |
| Junibacken | https://www.junibacken.se | Stockholm | museum | 2026-04-04 | Astrid Lindgren |
